timestamp, index, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/08 21:05:07.126, 1, 0, 0, 2325, 84.21, 1075
2026/08/08 21:05:07.226, 0, 11, 1, 2407, 89.28, 34101
2026/08/08 21:05:07.226, 1, 0, 0, 2325, 84.19, 1075
2026/08/08 21:05:07.326, 0, 0, 0, 2407, 88.45, 34101
2026/08/08 21:05:07.326, 1, 0, 0, 2325, 84.16, 1077
2026/08/08 21:05:07.426, 0, 0, 0, 2407, 88.31, 34101
2026/08/08 21:05:07.437, 1, 0, 0, 2325, 84.14, 1077
2026/08/08 21:05:07.537, 0, 0, 0, 2407, 88.27, 34103
2026/08/08 21:05:07.537, 1, 0, 0, 2325, 84.15, 1079
2026/08/08 21:05:07.637, 0, 0, 0, 2407, 88.24, 36407
2026/08/08 21:05:07.637, 1, 0, 0, 2325, 84.15, 1079
2026/08/08 21:05:07.737, 0, 18, 1, 2407, 89.12, 36471
2026/08/08 21:05:07.737, 1, 0, 0, 2325, 84.25, 1079
2026/08/08 21:05:07.838, 0, 18, 1, 2407, 89.24, 36471
2026/08/08 21:05:07.838, 1, 2, 0, 2325, 84.20, 1079
2026/08/08 21:05:07.938, 0, 2, 0, 2407, 89.22, 36473
2026/08/08 21:05:07.938, 1, 2, 0, 2325, 84.16, 1079
2026/08/08 21:05:08.038, 0, 2, 0, 2407, 88.37, 36473
2026/08/08 21:05:08.038, 1, 2, 0, 2325, 84.20, 1081
2026/08/08 21:05:08.138, 0, 2, 0, 2407, 88.31, 36473
2026/08/08 21:05:08.141, 1, 2, 0, 2325, 84.18, 1081
2026/08/08 21:05:08.242, 0, 2, 0, 2407, 88.32, 36475
2026/08/08 21:05:08.242, 1, 2, 0, 2325, 84.23, 1083
2026/08/08 21:05:08.342, 0, 2, 0, 2407, 88.31, 38811
2026/08/08 21:05:08.342, 1, 2, 0, 2325, 84.24, 1083
2026/08/08 21:05:08.442, 0, 2, 0, 2407, 89.20, 38845
2026/08/08 21:05:08.442, 1, 0, 0, 2325, 84.30, 1085
2026/08/08 21:05:08.542, 0, 25, 2, 2407, 89.33, 38845
2026/08/08 21:05:08.542, 1, 0, 0, 2325, 84.29, 1085
2026/08/08 21:05:08.642, 0, 25, 2, 2407, 89.36, 38845
2026/08/08 21:05:08.642, 1, 0, 0, 2325, 84.27, 1085
2026/08/08 21:05:08.742, 0, 0, 0, 2407, 88.78, 38845
2026/08/08 21:05:08.742, 1, 0, 0, 2325, 84.23, 1085
2026/08/08 21:05:08.842, 0, 0, 0, 2407, 88.41, 38845
2026/08/08 21:05:08.855, 1, 0, 0, 2325, 84.19, 1085
2026/08/08 21:05:08.955, 0, 0, 0, 2407, 88.36, 38847
2026/08/08 21:05:08.955, 1, 0, 0, 2325, 84.22, 1087
2026/08/08 21:05:09.055, 0, 0, 0, 2407, 88.36, 41151
2026/08/08 21:05:09.055, 1, 0, 0, 2325, 84.16, 1087
2026/08/08 21:05:09.155, 0, 0, 0, 2407, 88.96, 41217
2026/08/08 21:05:09.155, 1, 0, 0, 2325, 84.20, 1089
2026/08/08 21:05:09.255, 0, 0, 0, 2407, 89.32, 41217
2026/08/08 21:05:09.255, 1, 2, 0, 2325, 84.21, 1089
2026/08/08 21:05:09.355, 0, 2, 0, 2407, 89.25, 41217
2026/08/08 21:05:09.355, 1, 2, 0, 2325, 84.19, 1089
2026/08/08 21:05:09.455, 0, 2, 0, 2407, 88.66, 41219
2026/08/08 21:05:09.455, 1, 2, 0, 2325, 84.20, 1091
2026/08/08 21:05:09.556, 0, 2, 0, 2407, 88.34, 41219
2026/08/08 21:05:09.567, 1, 2, 0, 2325, 84.17, 1091
2026/08/08 21:05:09.667, 0, 2, 0, 2407, 88.33, 41219
