timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:45:40.805, 1, 0 %, 2804 MiB, 58.79 W, 2610 MHz
2026/09/22 23:45:41.055, 0, 0 %, 20756 MiB, 62.86 W, 2610 MHz
2026/09/22 23:45:41.055, 1, 0 %, 2804 MiB, 58.79 W, 2610 MHz
2026/09/22 23:45:41.305, 0, 0 %, 20788 MiB, 63.01 W, 2610 MHz
2026/09/22 23:45:41.305, 1, 0 %, 2804 MiB, 58.81 W, 2610 MHz
2026/09/22 23:45:41.555, 0, 0 %, 20788 MiB, 63.01 W, 2610 MHz
2026/09/22 23:45:41.556, 1, 0 %, 2804 MiB, 58.81 W, 2610 MHz
2026/09/22 23:45:41.806, 0, 0 %, 20820 MiB, 63.32 W, 2617 MHz
2026/09/22 23:45:41.806, 1, 0 %, 2804 MiB, 58.82 W, 2610 MHz
2026/09/22 23:45:42.056, 0, 0 %, 24276 MiB, 63.32 W, 2617 MHz
2026/09/22 23:45:42.056, 1, 0 %, 2804 MiB, 58.82 W, 2610 MHz
2026/09/22 23:45:42.306, 0, 23 %, 24308 MiB, 65.45 W, 2617 MHz
2026/09/22 23:45:42.306, 1, 0 %, 2804 MiB, 58.92 W, 2610 MHz
2026/09/22 23:45:42.556, 0, 23 %, 24308 MiB, 65.45 W, 2617 MHz
2026/09/22 23:45:42.556, 1, 0 %, 2804 MiB, 58.92 W, 2610 MHz
2026/09/22 23:45:42.806, 0, 0 %, 24308 MiB, 65.50 W, 2610 MHz
2026/09/22 23:45:42.807, 1, 0 %, 2804 MiB, 58.96 W, 2610 MHz
2026/09/22 23:45:43.057, 0, 0 %, 24340 MiB, 65.50 W, 2610 MHz
2026/09/22 23:45:43.057, 1, 0 %, 2804 MiB, 58.96 W, 2610 MHz
2026/09/22 23:45:43.307, 0, 0 %, 24340 MiB, 63.46 W, 2617 MHz
2026/09/22 23:45:43.307, 1, 0 %, 2804 MiB, 59.07 W, 2610 MHz
2026/09/22 23:45:43.557, 0, 0 %, 24340 MiB, 63.46 W, 2617 MHz
2026/09/22 23:45:43.557, 1, 0 %, 2804 MiB, 59.07 W, 2610 MHz
2026/09/22 23:45:43.807, 0, 0 %, 24372 MiB, 63.22 W, 2610 MHz
2026/09/22 23:45:43.807, 1, 0 %, 2804 MiB, 57.16 W, 2122 MHz
2026/09/22 23:45:44.057, 0, 0 %, 24372 MiB, 63.22 W, 2610 MHz
2026/09/22 23:45:44.058, 1, 0 %, 2804 MiB, 57.16 W, 2122 MHz
2026/09/22 23:45:44.308, 0, 0 %, 24404 MiB, 63.11 W, 2610 MHz
2026/09/22 23:45:44.308, 1, 0 %, 2804 MiB, 35.29 W, 180 MHz
2026/09/22 23:45:44.558, 0, 0 %, 24404 MiB, 63.11 W, 2610 MHz
2026/09/22 23:45:44.558, 1, 0 %, 2804 MiB, 35.29 W, 180 MHz
2026/09/22 23:45:44.808, 0, 0 %, 27892 MiB, 63.03 W, 2617 MHz
2026/09/22 23:45:44.808, 1, 0 %, 2804 MiB, 15.29 W, 180 MHz
2026/09/22 23:45:45.058, 0, 0 %, 27892 MiB, 63.03 W, 2617 MHz
2026/09/22 23:45:45.058, 1, 0 %, 2804 MiB, 15.29 W, 180 MHz
2026/09/22 23:45:45.308, 0, 23 %, 27924 MiB, 65.49 W, 2617 MHz
2026/09/22 23:45:45.309, 1, 0 %, 2804 MiB, 15.60 W, 180 MHz
2026/09/22 23:45:45.559, 0, 23 %, 27924 MiB, 65.49 W, 2617 MHz
2026/09/22 23:45:45.559, 1, 0 %, 2804 MiB, 15.60 W, 180 MHz
2026/09/22 23:45:45.809, 0, 0 %, 27924 MiB, 65.93 W, 2617 MHz
2026/09/22 23:45:45.809, 1, 0 %, 2804 MiB, 15.19 W, 180 MHz
2026/09/22 23:45:46.059, 0, 0 %, 27956 MiB, 65.93 W, 2617 MHz
2026/09/22 23:45:46.059, 1, 0 %, 2804 MiB, 15.19 W, 180 MHz
2026/09/22 23:45:46.309, 0, 0 %, 27956 MiB, 63.65 W, 2610 MHz
2026/09/22 23:45:46.309, 1, 0 %, 2804 MiB, 13.79 W, 180 MHz
2026/09/22 23:45:46.559, 0, 0 %, 27956 MiB, 63.65 W, 2610 MHz
2026/09/22 23:45:46.560, 1, 0 %, 2804 MiB, 13.79 W, 180 MHz
2026/09/22 23:45:46.810, 0, 0 %, 27988 MiB, 63.51 W, 2610 MHz
2026/09/22 23:45:46.810, 1, 0 %, 2804 MiB, 13.48 W, 180 MHz
2026/09/22 23:45:47.060, 0, 0 %, 27988 MiB, 63.51 W, 2610 MHz
2026/09/22 23:45:47.061, 1, 0 %, 2804 MiB, 13.48 W, 180 MHz
2026/09/22 23:45:47.311, 0, 0 %, 27988 MiB, 63.51 W, 2610 MHz
2026/09/22 23:45:47.311, 1, 0 %, 2804 MiB, 13.48 W, 180 MHz
2026/09/22 23:45:47.561, 0, 0 %, 28020 MiB, 63.51 W, 2610 MHz
2026/09/22 23:45:47.562, 1, 0 %, 2804 MiB, 13.48 W, 180 MHz
2026/09/22 23:45:47.812, 0, 1 %, 28052 MiB, 63.72 W, 2617 MHz
2026/09/22 23:45:47.812, 1, 0 %, 2804 MiB, 13.49 W, 180 MHz
2026/09/22 23:45:48.062, 0, 1 %, 31508 MiB, 63.72 W, 2617 MHz
2026/09/22 23:45:48.062, 1, 0 %, 2804 MiB, 13.49 W, 180 MHz
2026/09/22 23:45:48.312, 0, 12 %, 31540 MiB, 65.06 W, 2625 MHz
2026/09/22 23:45:48.312, 1, 0 %, 2804 MiB, 12.78 W, 180 MHz
2026/09/22 23:45:48.562, 0, 12 %, 31540 MiB, 65.06 W, 2625 MHz
2026/09/22 23:45:48.562, 1, 0 %, 2804 MiB, 12.78 W, 180 MHz
2026/09/22 23:45:48.813, 0, 0 %, 31540 MiB, 65.97 W, 2617 MHz
2026/09/22 23:45:48.813, 1, 0 %, 2804 MiB, 12.73 W, 180 MHz
