timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/21 03:24:20.682, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20793, 76458, 0, 96.08, 39
2026/09/21 03:24:20.933, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 0, 97250, 0, 95.55, 39
2026/09/21 03:24:21.183, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 1, 97250, 0, 97.43, 39
2026/09/21 03:24:21.436, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 595, 96656, 2, 98.68, 39
2026/09/21 03:24:21.686, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 1587, 95664, 0, 98.87, 39
2026/09/21 03:24:21.936, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 2579, 94672, 8, 98.35, 39
2026/09/21 03:24:22.186, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 3379, 93872, 6, 95.91, 39
2026/09/21 03:24:22.436, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 4275, 92976, 6, 94.88, 39
2026/09/21 03:24:22.686, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 5139, 92112, 7, 95.05, 39
2026/09/21 03:24:22.936, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 6067, 91184, 7, 95.08, 39
2026/09/21 03:24:23.186, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 6867, 90384, 7, 94.90, 39
2026/09/21 03:24:23.437, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 7731, 89520, 6, 94.89, 38
2026/09/21 03:24:23.687, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 8563, 88688, 7, 94.77, 38
2026/09/21 03:24:23.937, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 9427, 87824, 7, 94.67, 38
2026/09/21 03:24:24.187, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 10227, 87024, 7, 94.63, 38
2026/09/21 03:24:24.437, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 11091, 86160, 7, 94.58, 38
2026/09/21 03:24:24.687, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 11923, 85328, 6, 94.62, 38
2026/09/21 03:24:24.937, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 12787, 84464, 6, 94.69, 38
2026/09/21 03:24:25.187, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 13651, 83600, 6, 94.67, 38
2026/09/21 03:24:25.437, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14483, 82768, 7, 94.60, 38
2026/09/21 03:24:25.687, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14515, 82736, 2, 94.19, 38
2026/09/21 03:24:25.937, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 0, 95.54, 38
2026/09/21 03:24:26.187, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 173.26, 43
2026/09/21 03:24:26.438, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 227.39, 44
2026/09/21 03:24:26.688, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 302.16, 44
2026/09/21 03:24:26.938, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 357.37, 44
2026/09/21 03:24:27.188, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 97, 355.01, 44
2026/09/21 03:24:27.438, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 355.95, 45
2026/09/21 03:24:27.688, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 355.29, 44
2026/09/21 03:24:27.938, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 352.54, 44
2026/09/21 03:24:28.188, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 352.33, 45
2026/09/21 03:24:28.438, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 347.58, 44
2026/09/21 03:24:28.688, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 341.90, 44
2026/09/21 03:24:28.938, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 337.71, 44
2026/09/21 03:24:29.188, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 330.35, 44
2026/09/21 03:24:29.438, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 327.42, 44
2026/09/21 03:24:29.689, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.72, 44
2026/09/21 03:24:29.939, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.64, 44
2026/09/21 03:24:30.189, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.86, 44
2026/09/21 03:24:30.439, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.97, 44
2026/09/21 03:24:30.689, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.79, 44
2026/09/21 03:24:30.939, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.98, 45
2026/09/21 03:24:31.189, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.11, 45
2026/09/21 03:24:31.439, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.34, 45
2026/09/21 03:24:31.689, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.05, 45
2026/09/21 03:24:31.939, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.23, 45
2026/09/21 03:24:32.189, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.20, 45
2026/09/21 03:24:32.439, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.06, 45
2026/09/21 03:24:32.689, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.03, 45
2026/09/21 03:24:32.940, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.27, 45
2026/09/21 03:24:33.190, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.33, 45
2026/09/21 03:24:33.440, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.79, 45
2026/09/21 03:24:33.690, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.07, 45
2026/09/21 03:24:33.940, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.80, 45
2026/09/21 03:24:34.190, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.84, 45
2026/09/21 03:24:34.440, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 325.63, 46
2026/09/21 03:24:34.690, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.00, 46
2026/09/21 03:24:34.940, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.05, 46
2026/09/21 03:24:35.190, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.21, 46
2026/09/21 03:24:35.440, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.15, 46
2026/09/21 03:24:35.690, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.17, 46
2026/09/21 03:24:35.940, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 326.06, 46
2026/09/21 03:24:36.191, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 324.64, 46
2026/09/21 03:24:36.441, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 323.28, 46
2026/09/21 03:24:36.691, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 320.32, 46
2026/09/21 03:24:36.941, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.49, 46
2026/09/21 03:24:37.191, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.73, 46
2026/09/21 03:24:37.441, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.51, 46
2026/09/21 03:24:37.691, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.49, 46
2026/09/21 03:24:37.941, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.54, 46
2026/09/21 03:24:38.191, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.80, 46
2026/09/21 03:24:38.441, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 316.79, 46
