04:26:22.747	D	22	3:244126/30
04:26:22.747	D	23	3:244126/30
04:26:22.747	D	24	3:244110/30
04:26:22.747	D	25	3:244112/30
04:26:22.747	D	26	2:9019/13,3:241170/40
04:26:22.747	D	27	3:244117/30
04:26:22.747	D	28	1:119/4,2:12817/27,3:236998/50
04:26:22.747	D	29	3:244119/30
04:26:22.747	D	30	1:37/1,2:9217/18,3:239754/37
04:26:22.747	D	31	2:7859/17,3:239479/39
04:26:22.747	V	nr_free_pages:-6016,nr_zone_active_anon:121,nr_zone_inactive_file:4,nr_zone_active_file:108,nr_zone_write_pending:22,numa_hit:4326,numa_local:4326,nr_active_anon:121,nr_inactive_file:4,nr_active_file:108,nr_slab_unreclaimable:-935,nr_anon_pages:101,nr_mapped:1002120,nr_file_pages:112,nr_dirty:22,nr_dirtied:22,nr_kernel_misc_reclaimable:-455680,nr_kernel_stack:-112,nr_page_table_pages:2008,nr_sec_page_table_pages:1008,nr_iommu_pages:1008,nr_dirty_threshold:-1181,nr_dirty_background_threshold:-590,pgalloc_normal:11966,pgfree:7013,pgfault:33470,pgreuse:97
04:26:22.747	H	hwmon0:r8169_0_800:00/temp1_input=43500,hwmon1:nvme/temp1_input=33850,hwmon1:nvme/temp2_input=33850,hwmon1:nvme/temp3_input=38850,hwmon2:nvme/temp1_input=37850,hwmon3:k10temp/temp1_input=49625,hwmon3:k10temp/temp3_input=51250,hwmon3:k10temp/temp4_input=32625,hwmon4:spd5118/temp1_input=30500,hwmon5:spd5118/temp1_input=31000,hwmon6:spd5118/temp1_input=32750,hwmon7:spd5118/temp1_input=32000,hwmon9:amdgpu/power1_input=16000,hwmon9:amdgpu/temp1_input=39000
04:26:22.997	C	cpu0 875334 7990 114025 142474170 33802 0 260745 0 0 0
04:26:22.997	C	cpu1 43300708 23154 4776377 95420260 35387 0 11727 0 0 0
04:26:22.997	C	cpu2 951065 6968 87287 142653189 17588 0 11400 0 0 0
04:26:22.997	C	cpu3 2041624 7100 165898 141370542 36067 0 9285 0 0 0
04:26:22.997	C	cpu4 34997841 17382 1714076 106822696 40049 0 5911 0 0 0
