format	memra-checkpoint-oracle-v1
engine	memra-native-serving-numeric
numeric_class	serving-weight-and-cache-formats
tokens	1,2,3,4
vocab	154880
logit	585	3ff9d9cc
logit	586	404a65ae
logit	587	401a4b0e
logit	588	bcd4c0b0
logit	589	409b58a8
logit	590	405d3b9c
logit	591	bfbdce98
logit	592	3ea6aefc
logit	593	40b631dc
logit	594	409a6726
logit	595	40ad5936
logit	596	4017726f
logit	597	bf1bdb4c
logit	598	bedf0548
logit	599	3ff16a70
logit	600	40c116d9
logit	601	4002c95d
logit	602	40b0fcea
logit	603	3fc0b3da
logit	604	3fc2eeab
logit	605	3fb509a9
logit	606	400365a3
logit	607	401cd0ba
logit	608	40dadfea
logit	609	413551b4
logit	610	3ff5d1b6
logit	611	401c3180
logit	612	bf039c13
logit	613	40288607
logit	614	40ad72ce
logit	615	3f4bc0c0
logit	616	3ea2eae5
logit	617	4003ea80
logit	618	3fe99e87
logit	619	40937de7
logit	620	3e49b184
logit	621	4044a852
logit	622	3d9c1f08
logit	623	40b7aa14
logit	624	40e8d558
logit	625	40468a1b
logit	626	401b325c
logit	627	3fd9f040
logit	628	402f8cdb
logit	629	3e707140
logit	630	402ead4e
logit	631	407ad4f8
logit	632	bf370bb6
logit	633	4091fd98
logit	634	40a5ce7c
logit	635	c00e94c2
logit	636	40891c6c
logit	637	3cb0e320
logit	638	402b1c7b
logit	639	3fc58969
logit	640	40c3f509
logit	641	40c47eb6
logit	642	403520b4
logit	643	bf463440
logit	644	be93b3a0
logit	645	3f8ebb9f
logit	646	40a6121e
logit	647	40937597
logit	648	3e5d3b70
logit	649	409b7446
logit	650	402703ea
logit	651	3fa1ed20
logit	652	401e231e
logit	653	405cec86
logit	654	409302d7
logit	655	400f191c
logit	656	3fd50710
logit	657	3ffecec1
logit	658	3f4e65b8
logit	659	40e57d27
logit	660	40b5e6ed
logit	661	3fdb27a4
logit	662	407af308
logit	663	403db909
logit	664	400c11dc
logit	665	40337a0e
logit	666	bee739d4
logit	667	3f3265be
logit	668	40676c9a
logit	669	402dc748
logit	670	bebfd6c0
logit	671	411762a4
logit	672	4016aa61
logit	673	bca6a500
logit	674	3f85b3ee
logit	675	405dd92d
logit	676	4069891e
logit	677	40adaed7
logit	678	4085ea08
logit	679	be8f9fcf
logit	680	3f265b3e
logit	681	be3e0938
logit	682	401f5f8c
logit	683	4020b3b7
logit	684	3e35f784
logit	685	4003a53f
logit	686	405e5a07
logit	687	4097349b
logit	688	409765e2
logit	689	4010f23c
logit	690	40185154
logit	691	4098a917
logit	692	40927afb
logit	693	406eb16d
logit	694	3e408b28
logit	695	3f734264
logit	696	3f71e910
logit	697	4099d8a0
logit	698	40cb9e3a
logit	699	40e6dcde
logit	700	4069ab0f
logit	701	404339ae
logit	702	40ca6ccd
logit	703	408c3850
logit	704	406bc6ca
logit	705	4082609f
logit	706	4001fe9c
logit	707	4080d11e
logit	708	3fcaca9f
logit	709	3fb288dc
logit	710	bfa5f57c
logit	711	40068f69
logit	712	4091e94a
logit	713	bfa8580c
logit	714	40975bde
logit	715	40c7f4fa
logit	716	40aa964c
logit	717	bf72a5f6
logit	718	402acb4e
logit	719	bfc2cb2f
logit	720	bf354326
logit	721	3fafc3fc
logit	722	bf6d92e6
logit	723	40942bcc
logit	724	bea9e4c4
logit	725	3f283224
logit	726	3effd1c0
logit	727	c03ceb3a
logit	728	403a9e7c
logit	729	40129278
logit	730	40903e3e
logit	731	c031cb4a
logit	732	3f4a529e
logit	733	3fae933a
logit	734	bf0d2f2e
logit	735	3f9bad6a
logit	736	bfbf2ac5
logit	737	3f9cc202
logit	738	401477e2
logit	739	402f462f
logit	740	bfc43f3b
logit	741	40af4dbe
logit	742	4085adae
logit	743	3f9dce30
logit	744	c018f313
logit	745	bff49db1
logit	746	4003e110
logit	747	400f0208
logit	748	408d4179
logit	749	4012be7e
logit	750	40a2fa08
logit	751	40852666
logit	752	4081ef62
logit	753	41212c7f
logit	754	3e90e52c
logit	755	407be828
logit	756	403c5b74
logit	757	4013b563
logit	758	40a79c52
logit	759	40570820
logit	760	40a11996
logit	761	c0050bb7
logit	762	404087a8
logit	763	bf3521c6
logit	764	407b621a
logit	765	3e92aa3c
logit	766	40355a24
logit	767	bff35e18
logit	768	3fc5eccd
logit	769	bfdf25b8
logit	770	400f0bcc
logit	771	3eb7ab44
logit	772	3fdeead5
logit	773	40928671
logit	774	3f927d3e
logit	775	bed3fc9a
logit	776	401a90de
logit	777	3f491c1a
logit	778	408bf75e
logit	779	bf9c0f51
logit	780	3e711c54
logit	781	bfb38f09
logit	782	bf0bda68
logit	783	3fda7bfe
logit	784	40e530ba
logit	785	40f27454
logit	786	3feccb83
logit	787	40c01e64
logit	788	40c10bfd
logit	789	3f5422f1
logit	790	3f065bec
logit	791	40009294
logit	792	3f82fb98
logit	793	c03426f0
logit	794	405cbe6c
logit	795	c005c95c
logit	796	409956f4
logit	797	3fdc96c0
logit	798	3e2538f8
logit	799	3fbffb73
logit	800	bf3388f4
logit	801	bef6fca4
logit	802	3fa0ba2c
logit	803	409782a8
logit	804	3f7c9b62
logit	805	3fe42b3f
logit	806	406f8d3b
logit	807	408058fa
logit	808	bf92fa3d
logit	809	409ab588
logit	810	402ac050
logit	811	403286dc
logit	812	400a5cce
logit	813	3efdd780
logit	814	3ea949d8
logit	815	3fc830ac
logit	816	bec4fd98
logit	817	4092e7a9
logit	818	3fe3d892
logit	819	40686fb8
logit	820	40807150
logit	821	40932b22
logit	822	3fc99f01
logit	823	40a8031b
logit	824	401e7b34
logit	825	4064da12
logit	826	bf46b34d
logit	827	40711455
logit	828	4095054e
logit	829	40505b24
logit	830	400885fc
logit	831	402bc24b
logit	832	3ff0283b
logit	833	c02df4fc
logit	834	402e7e02
logit	835	4076860f
logit	836	bf84b585
logit	837	bf5ae0ff
logit	838	4016cd64
logit	839	3ff38f11
logit	840	407f66e1
logit	841	3fe5ce64
logit	842	c0282845
logit	843	c06d9a45
logit	844	bf70c1e9
logit	845	4026e5b4
logit	846	bfe4cdec
logit	847	40a0f9a7
logit	848	3f794d4f
logit	849	4016a11d
logit	850	bf00a8e1
logit	851	408cbb10
logit	852	3ff16b8c
logit	853	3ebd4f9d
logit	854	40cc4282
logit	855	402a90a2
logit	856	40bb02d6
logit	857	bf705ff6
logit	858	407314ef
logit	859	3fbf816c
logit	860	c0530d0a
logit	861	40bf90f3
logit	862	4058b9bb
logit	863	4114ab01
logit	864	3f79a278
logit	865	40480c04
logit	866	40937364
logit	867	40112bae
logit	868	40b4f060
logit	869	3f59023a
logit	870	3f6b35a0
logit	871	3fdff873
logit	872	4009103a
logit	873	410022f0
logit	874	4062831a
logit	875	bf8804d9
logit	876	401cf64a
logit	877	4008b4c0
logit	878	3fb48132
logit	879	40852990
logit	880	bedba68c
logit	881	40225322
logit	882	3fab2d02
logit	883	4080b66c
logit	884	40130e5b
logit	885	3f89e6b5
logit	886	be096fb0
logit	887	3f5503b0
logit	888	3f739df9
logit	889	bf833b59
logit	890	bfe47f4e
logit	891	401d8d9a
logit	892	4094059a
logit	893	3f5f031d
logit	894	4032152b
logit	895	40440135
logit	896	4062f94c
logit	897	40590376
logit	898	3fd410cc
logit	899	41075a4f
logit	900	3ee531af
logit	901	4098c64e
logit	902	40acb729
logit	903	bbf70200
logit	904	406d050c
logit	905	bfeb9c3b
logit	906	403479d3
logit	907	c00d2a52
logit	908	3f5dbcc0
logit	909	bfca1002
logit	910	3fee54a8
logit	911	40ab823f
logit	912	40408580
logit	913	407780c9
logit	914	403cd491
logit	915	407e3c38
logit	916	4083e8ba
logit	917	403e4d85
logit	918	bfe6aaa0
logit	919	c0157751
logit	920	bff6870c
logit	921	4016048f
logit	922	401f1ce8
logit	923	40164a76
logit	924	40964e6a
logit	925	40490c54
logit	926	3f04a0f1
logit	927	405717b8
logit	928	3fe5fad1
logit	929	4086bc83
logit	930	3f76df08
logit	931	4001ca24
logit	932	4048a8fc
logit	933	3fb15ac4
logit	934	40658762
logit	935	bfb9f517
logit	936	3f9ca74c
logit	937	4106a462
logit	938	3f9c9559
logit	939	3ffd6ef6
logit	940	bfa4fd42
logit	941	4062172d
logit	942	bf6053c2
logit	943	400e1100
logit	944	3fc0658e
logit	945	c027a409
logit	946	3f4f38ba
logit	947	40859872
logit	948	c01a2510
