epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790371865784,70,93.75,1102,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371866034,70,93.97,1117,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371866284,70,93.76,1140,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371866534,70,93.77,1132,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371866784,70,93.81,1102,11470,13122469888,11323978388,11710496768,386518380,7,1042235392,0,0,0,0,0,0,0
1790371867034,72,94.33,1230,11534,13122469888,11323978388,11710496768,386518380,7,1042235392,0,0,0,0,0,0,0
1790371867284,71,93.73,1417,11534,13122469888,11323978388,11710496768,386518380,7,1042235392,0,0,0,0,0,0,0
1790371867534,70,94.08,1305,11534,13122469888,11323978388,11710496768,386518380,7,1042235392,0,0,0,0,0,0,0
1790371867784,70,93.76,1042,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371868034,71,93.93,1147,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371868284,70,94.53,1155,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371868534,70,93.23,1132,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371868784,70,94.21,1072,11564,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371869034,71,93.54,1162,12124,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371869284,71,94.14,1275,11534,12712083456,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371869534,70,93.35,1177,11534,12712083456,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371869784,71,94.01,1087,11534,12712083456,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371870034,71,94.04,1170,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371870284,71,93.51,1125,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
1790371870534,71,93.49,1117,11534,13055361024,11576905096,11777605632,200700536,8,1112981504,0,0,0,0,0,0,0
