timestamp, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/20 09:15:47.181, 59, 33.65 W, 23552 MiB, 2 %, 1770 MHz, 14001 MHz
2026/07/20 09:15:52.181, 59, 35.22 W, 23552 MiB, 5 %, 1762 MHz, 14001 MHz
2026/07/20 09:15:57.189, 58, 35.78 W, 23552 MiB, 4 %, 1762 MHz, 14001 MHz
2026/07/20 09:16:02.190, 58, 35.46 W, 23552 MiB, 9 %, 1770 MHz, 14001 MHz
2026/07/20 09:16:07.190, 59, 35.38 W, 23552 MiB, 5 %, 1777 MHz, 14001 MHz
2026/07/20 09:16:12.191, 58, 35.09 W, 23552 MiB, 5 %, 1785 MHz, 14001 MHz
2026/07/20 09:16:17.191, 58, 35.22 W, 23552 MiB, 1 %, 1740 MHz, 14001 MHz
2026/07/20 09:16:22.192, 58, 34.50 W, 23552 MiB, 6 %, 1770 MHz, 14001 MHz
2026/07/20 09:16:27.193, 58, 35.56 W, 23552 MiB, 2 %, 1725 MHz, 14001 MHz
2026/07/20 09:16:32.194, 57, 33.84 W, 23552 MiB, 4 %, 1732 MHz, 14001 MHz
2026/07/20 09:16:37.194, 57, 34.44 W, 23552 MiB, 3 %, 1747 MHz, 14001 MHz
2026/07/20 09:16:42.195, 57, 35.43 W, 23552 MiB, 2 %, 1702 MHz, 14001 MHz
2026/07/20 09:16:47.196, 57, 35.14 W, 23552 MiB, 1 %, 1807 MHz, 14001 MHz
2026/07/20 09:16:52.197, 57, 37.10 W, 23552 MiB, 1 %, 1792 MHz, 14001 MHz
2026/07/20 09:16:57.197, 57, 32.57 W, 23552 MiB, 4 %, 1770 MHz, 14001 MHz
2026/07/20 09:17:02.198, 57, 34.39 W, 23552 MiB, 7 %, 1740 MHz, 14001 MHz
2026/07/20 09:17:07.198, 57, 32.05 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 09:17:12.199, 57, 31.35 W, 23552 MiB, 3 %, 1717 MHz, 14001 MHz
2026/07/20 09:17:17.199, 57, 33.43 W, 23552 MiB, 1 %, 1762 MHz, 14001 MHz
2026/07/20 09:17:22.201, 57, 33.94 W, 23552 MiB, 4 %, 1747 MHz, 14001 MHz
2026/07/20 09:17:27.201, 57, 31.33 W, 23552 MiB, 3 %, 1725 MHz, 14001 MHz
2026/07/20 09:17:32.202, 57, 34.76 W, 23552 MiB, 1 %, 1747 MHz, 14001 MHz
2026/07/20 09:17:37.202, 57, 30.99 W, 23552 MiB, 3 %, 1695 MHz, 14001 MHz
2026/07/20 09:17:42.203, 58, 35.08 W, 23552 MiB, 13 %, 1740 MHz, 14001 MHz
2026/07/20 09:17:47.203, 57, 32.37 W, 23552 MiB, 5 %, 1732 MHz, 14001 MHz
2026/07/20 09:17:52.204, 57, 30.84 W, 23552 MiB, 2 %, 1695 MHz, 14001 MHz
2026/07/20 09:17:57.205, 57, 31.52 W, 23552 MiB, 3 %, 1725 MHz, 14001 MHz
2026/07/20 09:18:02.206, 57, 31.68 W, 23552 MiB, 6 %, 1725 MHz, 14001 MHz
2026/07/20 09:18:07.206, 58, 43.49 W, 23552 MiB, 14 %, 1740 MHz, 14001 MHz
2026/07/20 09:18:12.207, 69, 108.97 W, 23552 MiB, 53 %, 2377 MHz, 14001 MHz
2026/07/20 09:18:17.208, 69, 106.73 W, 23552 MiB, 44 %, 2415 MHz, 14001 MHz
2026/07/20 09:18:22.209, 61, 34.53 W, 23552 MiB, 7 %, 1785 MHz, 14001 MHz
2026/07/20 09:18:27.209, 60, 34.14 W, 23552 MiB, 4 %, 1755 MHz, 14001 MHz
2026/07/20 09:18:32.210, 60, 35.14 W, 23552 MiB, 7 %, 1807 MHz, 14001 MHz
2026/07/20 09:18:37.211, 59, 35.13 W, 23552 MiB, 3 %, 1777 MHz, 14001 MHz
2026/07/20 09:18:42.211, 59, 35.75 W, 23552 MiB, 1 %, 1815 MHz, 14001 MHz
2026/07/20 09:18:47.212, 58, 34.81 W, 23552 MiB, 4 %, 1777 MHz, 14001 MHz
2026/07/20 09:18:52.220, 58, 33.81 W, 23552 MiB, 2 %, 1755 MHz, 14001 MHz
2026/07/20 09:18:57.220, 58, 34.25 W, 23552 MiB, 3 %, 1762 MHz, 14001 MHz
2026/07/20 09:19:02.221, 58, 36.04 W, 23552 MiB, 1 %, 1755 MHz, 14001 MHz
2026/07/20 09:19:07.221, 58, 36.35 W, 23552 MiB, 6 %, 1800 MHz, 14001 MHz
2026/07/20 09:19:12.222, 58, 35.72 W, 23552 MiB, 1 %, 1822 MHz, 14001 MHz
2026/07/20 09:19:17.224, 57, 34.78 W, 23552 MiB, 2 %, 1732 MHz, 14001 MHz
2026/07/20 09:19:22.225, 59, 36.30 W, 23552 MiB, 23 %, 1822 MHz, 14001 MHz
2026/07/20 09:19:27.226, 57, 35.86 W, 23552 MiB, 4 %, 1710 MHz, 14001 MHz
2026/07/20 09:19:32.227, 57, 35.11 W, 23552 MiB, 1 %, 1807 MHz, 14001 MHz
2026/07/20 09:19:37.228, 57, 33.44 W, 23552 MiB, 6 %, 1732 MHz, 14001 MHz
2026/07/20 09:19:42.228, 57, 34.55 W, 23552 MiB, 8 %, 1732 MHz, 14001 MHz
2026/07/20 09:19:47.229, 57, 35.31 W, 23552 MiB, 3 %, 1717 MHz, 14001 MHz
2026/07/20 09:19:52.229, 57, 34.47 W, 23552 MiB, 1 %, 1695 MHz, 14001 MHz
2026/07/20 09:19:57.230, 57, 31.47 W, 23552 MiB, 4 %, 1695 MHz, 14001 MHz
2026/07/20 09:20:02.231, 56, 32.24 W, 23552 MiB, 4 %, 1717 MHz, 14001 MHz
2026/07/20 09:20:07.232, 57, 34.58 W, 23552 MiB, 1 %, 1687 MHz, 14001 MHz
2026/07/20 09:20:12.232, 57, 32.34 W, 23552 MiB, 2 %, 1702 MHz, 14001 MHz
2026/07/20 09:20:17.233, 57, 31.28 W, 23552 MiB, 1 %, 1740 MHz, 14001 MHz
2026/07/20 09:20:22.234, 57, 34.61 W, 23552 MiB, 1 %, 1785 MHz, 14001 MHz
2026/07/20 09:20:27.234, 57, 32.77 W, 23552 MiB, 3 %, 1717 MHz, 14001 MHz
2026/07/20 09:20:32.235, 57, 33.91 W, 23552 MiB, 1 %, 1687 MHz, 14001 MHz
2026/07/20 09:20:37.235, 57, 31.91 W, 23552 MiB, 1 %, 1717 MHz, 14001 MHz
2026/07/20 09:20:42.236, 57, 33.15 W, 23552 MiB, 7 %, 1695 MHz, 14001 MHz
2026/07/20 09:20:47.237, 57, 31.05 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 09:20:52.237, 57, 32.26 W, 23552 MiB, 5 %, 1717 MHz, 14001 MHz
2026/07/20 09:20:57.237, 57, 33.74 W, 23552 MiB, 6 %, 1755 MHz, 14001 MHz
2026/07/20 09:21:02.239, 61, 84.51 W, 23552 MiB, 22 %, 2452 MHz, 14001 MHz
2026/07/20 09:21:07.239, 68, 106.65 W, 23552 MiB, 56 %, 2422 MHz, 14001 MHz
2026/07/20 09:21:12.240, 70, 111.46 W, 23552 MiB, 49 %, 2407 MHz, 14001 MHz
2026/07/20 09:21:17.240, 62, 34.07 W, 23552 MiB, 4 %, 1777 MHz, 14001 MHz
2026/07/20 09:21:22.241, 61, 34.55 W, 23552 MiB, 3 %, 1747 MHz, 14001 MHz
2026/07/20 09:21:27.242, 61, 35.10 W, 23552 MiB, 6 %, 1792 MHz, 14001 MHz
2026/07/20 09:21:32.243, 59, 34.29 W, 23552 MiB, 8 %, 1755 MHz, 14001 MHz
2026/07/20 09:21:37.243, 59, 35.22 W, 23552 MiB, 1 %, 1792 MHz, 14001 MHz
2026/07/20 09:21:42.244, 58, 34.18 W, 23552 MiB, 4 %, 1792 MHz, 14001 MHz
2026/07/20 09:21:47.245, 58, 34.25 W, 23552 MiB, 3 %, 1770 MHz, 14001 MHz
2026/07/20 09:21:52.245, 58, 34.20 W, 23552 MiB, 6 %, 1770 MHz, 14001 MHz
2026/07/20 09:21:57.246, 58, 36.19 W, 23552 MiB, 3 %, 1785 MHz, 14001 MHz
2026/07/20 09:22:02.246, 58, 35.64 W, 23552 MiB, 5 %, 1800 MHz, 14001 MHz
2026/07/20 09:22:07.247, 57, 35.07 W, 23552 MiB, 3 %, 1770 MHz, 14001 MHz
2026/07/20 09:22:12.247, 57, 34.74 W, 23552 MiB, 3 %, 1792 MHz, 14001 MHz
2026/07/20 09:22:17.248, 58, 35.49 W, 23552 MiB, 10 %, 1800 MHz, 14001 MHz
2026/07/20 09:22:22.249, 57, 33.85 W, 23552 MiB, 3 %, 1732 MHz, 14001 MHz
2026/07/20 09:22:27.249, 57, 32.59 W, 23552 MiB, 2 %, 1710 MHz, 14001 MHz
2026/07/20 09:22:32.250, 57, 34.87 W, 23552 MiB, 3 %, 1710 MHz, 14001 MHz
2026/07/20 09:22:37.254, 57, 35.19 W, 23552 MiB, 14 %, 1807 MHz, 14001 MHz
2026/07/20 09:22:42.256, 57, 35.15 W, 23552 MiB, 9 %, 1785 MHz, 14001 MHz
2026/07/20 09:22:47.257, 57, 32.55 W, 23552 MiB, 3 %, 1770 MHz, 14001 MHz
2026/07/20 09:22:52.257, 57, 34.35 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 09:22:57.258, 57, 32.33 W, 23552 MiB, 2 %, 1725 MHz, 14001 MHz
2026/07/20 09:23:02.259, 57, 32.24 W, 23552 MiB, 6 %, 1755 MHz, 14001 MHz
2026/07/20 09:23:07.259, 57, 33.23 W, 23552 MiB, 1 %, 1687 MHz, 14001 MHz
2026/07/20 09:23:12.260, 57, 33.41 W, 23552 MiB, 4 %, 1717 MHz, 14001 MHz
2026/07/20 09:23:17.260, 57, 32.00 W, 23552 MiB, 4 %, 1732 MHz, 14001 MHz
2026/07/20 09:23:22.261, 57, 33.29 W, 23552 MiB, 1 %, 1695 MHz, 14001 MHz
2026/07/20 09:23:27.262, 57, 31.72 W, 23552 MiB, 3 %, 1740 MHz, 14001 MHz
2026/07/20 09:23:32.262, 57, 33.47 W, 23552 MiB, 3 %, 1732 MHz, 14001 MHz
2026/07/20 09:23:37.263, 56, 31.80 W, 23552 MiB, 2 %, 1710 MHz, 14001 MHz
2026/07/20 09:23:42.264, 56, 31.69 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 09:23:47.264, 56, 34.91 W, 23552 MiB, 3 %, 1792 MHz, 14001 MHz
2026/07/20 09:23:52.265, 56, 31.39 W, 23552 MiB, 2 %, 1665 MHz, 14001 MHz
2026/07/20 09:23:57.265, 63, 97.22 W, 23552 MiB, 47 %, 2362 MHz, 14001 MHz
2026/07/20 09:24:02.266, 67, 95.19 W, 23552 MiB, 43 %, 2310 MHz, 14001 MHz
2026/07/20 09:24:07.267, 62, 35.12 W, 23552 MiB, 4 %, 1755 MHz, 14001 MHz
2026/07/20 09:24:12.268, 61, 33.58 W, 23552 MiB, 3 %, 1762 MHz, 14001 MHz
2026/07/20 09:24:17.269, 60, 36.20 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 09:24:22.269, 59, 33.56 W, 23552 MiB, 4 %, 1762 MHz, 14001 MHz
2026/07/20 09:24:27.271, 59, 34.18 W, 23552 MiB, 4 %, 1740 MHz, 14001 MHz
2026/07/20 09:24:32.271, 59, 35.03 W, 23552 MiB, 10 %, 1800 MHz, 14001 MHz
2026/07/20 09:24:37.272, 58, 33.93 W, 23552 MiB, 4 %, 1770 MHz, 14001 MHz
2026/07/20 09:24:42.273, 58, 34.39 W, 23552 MiB, 6 %, 1762 MHz, 14001 MHz
2026/07/20 09:24:47.273, 58, 35.53 W, 23552 MiB, 2 %, 1725 MHz, 14001 MHz
2026/07/20 09:24:52.274, 58, 34.65 W, 23552 MiB, 2 %, 1740 MHz, 14001 MHz
2026/07/20 09:24:57.275, 58, 35.29 W, 23552 MiB, 6 %, 1755 MHz, 14001 MHz
2026/07/20 09:25:02.275, 58, 33.80 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 09:25:07.276, 58, 35.38 W, 23552 MiB, 4 %, 1747 MHz, 14001 MHz
2026/07/20 09:25:12.276, 58, 36.88 W, 23552 MiB, 2 %, 1815 MHz, 14001 MHz
2026/07/20 09:25:17.277, 57, 32.87 W, 23552 MiB, 8 %, 1717 MHz, 14001 MHz
2026/07/20 09:25:22.278, 58, 34.49 W, 23552 MiB, 6 %, 1725 MHz, 14001 MHz
2026/07/20 09:25:27.278, 57, 34.07 W, 23552 MiB, 2 %, 1710 MHz, 14001 MHz
2026/07/20 09:25:32.279, 58, 35.80 W, 23552 MiB, 5 %, 1747 MHz, 14001 MHz
2026/07/20 09:25:37.279, 57, 34.79 W, 23552 MiB, 2 %, 1792 MHz, 14001 MHz
2026/07/20 09:25:42.280, 58, 34.40 W, 23552 MiB, 5 %, 1785 MHz, 14001 MHz
2026/07/20 09:25:47.280, 57, 31.90 W, 23552 MiB, 5 %, 1747 MHz, 14001 MHz
2026/07/20 09:25:52.281, 57, 32.15 W, 23552 MiB, 5 %, 1732 MHz, 14001 MHz
2026/07/20 09:25:57.282, 57, 34.85 W, 23552 MiB, 1 %, 1755 MHz, 14001 MHz
2026/07/20 09:26:02.282, 57, 32.02 W, 23552 MiB, 5 %, 1710 MHz, 14001 MHz
2026/07/20 09:26:07.283, 57, 31.26 W, 23552 MiB, 3 %, 1695 MHz, 14001 MHz
2026/07/20 09:26:12.283, 58, 34.46 W, 23552 MiB, 6 %, 1725 MHz, 14001 MHz
2026/07/20 09:26:17.284, 57, 31.64 W, 23552 MiB, 3 %, 1717 MHz, 14001 MHz
2026/07/20 09:26:22.284, 58, 33.29 W, 23552 MiB, 6 %, 1740 MHz, 14001 MHz
2026/07/20 09:26:27.285, 57, 30.60 W, 23552 MiB, 1 %, 1687 MHz, 14001 MHz
2026/07/20 09:26:32.286, 57, 32.12 W, 23552 MiB, 3 %, 1740 MHz, 14001 MHz
2026/07/20 09:26:37.286, 57, 33.68 W, 23552 MiB, 5 %, 1777 MHz, 14001 MHz
2026/07/20 09:26:42.287, 57, 31.02 W, 23552 MiB, 2 %, 1687 MHz, 14001 MHz
2026/07/20 09:26:47.287, 57, 32.27 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 09:26:52.289, 66, 106.52 W, 23552 MiB, 44 %, 2445 MHz, 14001 MHz
2026/07/20 09:26:57.289, 67, 94.07 W, 23552 MiB, 32 %, 2355 MHz, 14001 MHz
