timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:54:14.581, 1, 0 %, 2804 MiB, 59.93 W, 2610 MHz
2026/09/22 23:54:14.831, 0, 23 %, 24308 MiB, 66.84 W, 2617 MHz
2026/09/22 23:54:14.831, 1, 0 %, 2804 MiB, 59.71 W, 2610 MHz
2026/09/22 23:54:15.081, 0, 23 %, 24308 MiB, 66.84 W, 2617 MHz
2026/09/22 23:54:15.081, 1, 0 %, 2804 MiB, 59.71 W, 2610 MHz
2026/09/22 23:54:15.331, 0, 0 %, 24308 MiB, 67.25 W, 2610 MHz
2026/09/22 23:54:15.331, 1, 0 %, 2804 MiB, 59.79 W, 2610 MHz
2026/09/22 23:54:15.581, 0, 0 %, 24340 MiB, 67.25 W, 2610 MHz
2026/09/22 23:54:15.582, 1, 0 %, 2804 MiB, 59.79 W, 2610 MHz
2026/09/22 23:54:15.832, 0, 0 %, 24340 MiB, 65.74 W, 2617 MHz
2026/09/22 23:54:15.832, 1, 0 %, 2804 MiB, 59.56 W, 2610 MHz
2026/09/22 23:54:16.082, 0, 0 %, 24340 MiB, 65.74 W, 2617 MHz
2026/09/22 23:54:16.082, 1, 0 %, 2804 MiB, 59.56 W, 2610 MHz
2026/09/22 23:54:16.332, 0, 0 %, 24372 MiB, 65.03 W, 2610 MHz
2026/09/22 23:54:16.332, 1, 0 %, 2804 MiB, 42.40 W, 180 MHz
2026/09/22 23:54:16.582, 0, 0 %, 24372 MiB, 65.03 W, 2610 MHz
2026/09/22 23:54:16.582, 1, 0 %, 2804 MiB, 42.40 W, 180 MHz
2026/09/22 23:54:16.832, 0, 0 %, 24404 MiB, 65.07 W, 2610 MHz
2026/09/22 23:54:16.833, 1, 0 %, 2804 MiB, 20.07 W, 180 MHz
2026/09/22 23:54:17.083, 0, 0 %, 24404 MiB, 65.07 W, 2610 MHz
2026/09/22 23:54:17.083, 1, 0 %, 2804 MiB, 20.07 W, 180 MHz
2026/09/22 23:54:17.333, 0, 0 %, 27892 MiB, 65.11 W, 2617 MHz
2026/09/22 23:54:17.333, 1, 0 %, 2804 MiB, 14.59 W, 180 MHz
2026/09/22 23:54:17.583, 0, 0 %, 27892 MiB, 65.11 W, 2617 MHz
2026/09/22 23:54:17.583, 1, 0 %, 2804 MiB, 14.59 W, 180 MHz
2026/09/22 23:54:17.833, 0, 23 %, 27924 MiB, 67.33 W, 2617 MHz
2026/09/22 23:54:17.833, 1, 0 %, 2804 MiB, 15.83 W, 180 MHz
2026/09/22 23:54:18.083, 0, 23 %, 27924 MiB, 67.33 W, 2617 MHz
2026/09/22 23:54:18.084, 1, 0 %, 2804 MiB, 15.83 W, 180 MHz
2026/09/22 23:54:18.334, 0, 0 %, 27924 MiB, 67.57 W, 2617 MHz
2026/09/22 23:54:18.334, 1, 0 %, 2804 MiB, 15.42 W, 180 MHz
2026/09/22 23:54:18.584, 0, 0 %, 27956 MiB, 67.57 W, 2617 MHz
2026/09/22 23:54:18.584, 1, 0 %, 2804 MiB, 15.42 W, 180 MHz
2026/09/22 23:54:18.834, 0, 1 %, 27956 MiB, 65.59 W, 2610 MHz
2026/09/22 23:54:18.834, 1, 0 %, 2804 MiB, 13.48 W, 180 MHz
2026/09/22 23:54:19.084, 0, 1 %, 27956 MiB, 65.59 W, 2610 MHz
2026/09/22 23:54:19.084, 1, 0 %, 2804 MiB, 13.48 W, 180 MHz
2026/09/22 23:54:19.334, 0, 0 %, 27988 MiB, 65.18 W, 2610 MHz
2026/09/22 23:54:19.335, 1, 0 %, 2804 MiB, 13.35 W, 180 MHz
2026/09/22 23:54:19.585, 0, 0 %, 27988 MiB, 65.18 W, 2610 MHz
2026/09/22 23:54:19.585, 1, 0 %, 2804 MiB, 13.35 W, 180 MHz
2026/09/22 23:54:19.835, 0, 0 %, 27988 MiB, 65.12 W, 2617 MHz
2026/09/22 23:54:19.835, 1, 0 %, 2804 MiB, 13.60 W, 180 MHz
2026/09/22 23:54:20.085, 0, 0 %, 28020 MiB, 65.12 W, 2617 MHz
2026/09/22 23:54:20.085, 1, 0 %, 2804 MiB, 13.60 W, 180 MHz
2026/09/22 23:54:20.335, 0, 0 %, 28052 MiB, 65.03 W, 2610 MHz
2026/09/22 23:54:20.335, 1, 0 %, 2804 MiB, 14.34 W, 180 MHz
2026/09/22 23:54:20.586, 0, 0 %, 31508 MiB, 65.03 W, 2610 MHz
2026/09/22 23:54:20.586, 1, 0 %, 2804 MiB, 14.34 W, 180 MHz
2026/09/22 23:54:20.836, 0, 20 %, 31540 MiB, 65.84 W, 2617 MHz
2026/09/22 23:54:20.836, 1, 0 %, 2804 MiB, 15.60 W, 180 MHz
2026/09/22 23:54:21.086, 0, 20 %, 31540 MiB, 65.84 W, 2617 MHz
2026/09/22 23:54:21.086, 1, 0 %, 2804 MiB, 15.60 W, 180 MHz
2026/09/22 23:54:21.336, 0, 0 %, 31540 MiB, 67.25 W, 2617 MHz
2026/09/22 23:54:21.336, 1, 0 %, 2804 MiB, 14.93 W, 180 MHz
2026/09/22 23:54:21.586, 0, 0 %, 31572 MiB, 67.25 W, 2617 MHz
2026/09/22 23:54:21.586, 1, 0 %, 2804 MiB, 14.93 W, 180 MHz
2026/09/22 23:54:21.837, 0, 1 %, 31572 MiB, 67.29 W, 2610 MHz
2026/09/22 23:54:21.837, 1, 0 %, 2804 MiB, 14.06 W, 180 MHz
2026/09/22 23:54:22.087, 0, 1 %, 31572 MiB, 67.29 W, 2610 MHz
2026/09/22 23:54:22.087, 1, 0 %, 2804 MiB, 14.06 W, 180 MHz
2026/09/22 23:54:22.337, 0, 0 %, 31604 MiB, 65.19 W, 2610 MHz
2026/09/22 23:54:22.337, 1, 0 %, 2804 MiB, 13.91 W, 180 MHz
2026/09/22 23:54:22.587, 0, 0 %, 31604 MiB, 65.19 W, 2610 MHz
2026/09/22 23:54:22.587, 1, 0 %, 2804 MiB, 13.91 W, 180 MHz
2026/09/22 23:54:22.837, 0, 0 %, 31604 MiB, 65.01 W, 2617 MHz
2026/09/22 23:54:22.837, 1, 0 %, 2804 MiB, 14.73 W, 180 MHz
2026/09/22 23:54:23.088, 0, 0 %, 31636 MiB, 65.01 W, 2617 MHz
2026/09/22 23:54:23.088, 1, 0 %, 2804 MiB, 14.73 W, 180 MHz
2026/09/22 23:54:23.338, 0, 0 %, 31668 MiB, 64.82 W, 2610 MHz
2026/09/22 23:54:23.338, 1, 0 %, 2804 MiB, 14.34 W, 180 MHz
