arm,model,shape,phase,relative_pc,sass,instructions_executed,conflict_degree,actual_wavefronts,ideal_wavefronts,excess_wavefronts
baseline,q27,4096,other_shared,0x009e70,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009ff0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a130,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a290,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a410,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a550,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a6b0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a830,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00a970,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00aad0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ac50,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ad90,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00aef0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b070,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b1b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b310,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b490,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b5d0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b730,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b8b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00b9f0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00bb50,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00bcd0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00be10,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00bf70,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c0f0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c230,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c390,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c510,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c650,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c7b0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00c930,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ca70,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00cbd0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00cd50,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00ce90,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00cff0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d170,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d2b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d410,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d590,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d6d0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d830,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00d9b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00daf0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x00dc50,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
