model.embed_tokens.weight	TokenEmbedding
model.layers.15.moe.down_proj.weight	Layer { index: 15, tensor: MoeExpertDownBank }
model.layers.15.share_expert.gate_proj.weight	Layer { index: 15, tensor: SharedMlpGate }
model.layers.15.share_expert.up_proj.weight	Layer { index: 15, tensor: SharedMlpUp }
model.layers.15.share_expert.down_proj.weight	Layer { index: 15, tensor: SharedMlpDown }
model.layers.16.input_layernorm.weight	Layer { index: 16, tensor: PreAttentionNorm }
model.layers.16.self_attn.q_proj.weight	Layer { index: 16, tensor: Query }
model.layers.16.self_attn.k_proj.weight	Layer { index: 16, tensor: Key }
model.layers.16.self_attn.o_proj.weight	Layer { index: 16, tensor: AttentionOutput }
model.layers.16.self_attn.v_proj.weight	Layer { index: 16, tensor: Value }
model.layers.16.self_attn.q_norm.weight	Layer { index: 16, tensor: QueryNorm }
model.layers.16.self_attn.k_norm.weight	Layer { index: 16, tensor: KeyNorm }
model.layers.16.self_attn.g_proj.weight	Layer { index: 16, tensor: AttentionGate }
model.layers.16.post_attention_layernorm.weight	Layer { index: 16, tensor: PreMlpNorm }
model.layers.16.moe.gate.weight	Layer { index: 16, tensor: MoeRouter }
model.layers.16.moe.router_bias	Layer { index: 16, tensor: MoeRouterBias }
model.layers.16.moe.gate_proj.weight	Layer { index: 16, tensor: MoeExpertGateBank }
model.layers.16.moe.up_proj.weight	Layer { index: 16, tensor: MoeExpertUpBank }
model.layers.16.moe.down_proj.weight	Layer { index: 16, tensor: MoeExpertDownBank }
model.layers.16.share_expert.gate_proj.weight	Layer { index: 16, tensor: SharedMlpGate }
model.layers.16.share_expert.up_proj.weight	Layer { index: 16, tensor: SharedMlpUp }
model.layers.16.share_expert.down_proj.weight	Layer { index: 16, tensor: SharedMlpDown }
model.layers.17.input_layernorm.weight	Layer { index: 17, tensor: PreAttentionNorm }
model.layers.17.self_attn.q_proj.weight	Layer { index: 17, tensor: Query }
model.layers.17.self_attn.k_proj.weight	Layer { index: 17, tensor: Key }
model.layers.17.self_attn.o_proj.weight	Layer { index: 17, tensor: AttentionOutput }
model.layers.17.self_attn.v_proj.weight	Layer { index: 17, tensor: Value }
model.layers.17.self_attn.q_norm.weight	Layer { index: 17, tensor: QueryNorm }
model.layers.17.self_attn.k_norm.weight	Layer { index: 17, tensor: KeyNorm }
model.layers.17.self_attn.g_proj.weight	Layer { index: 17, tensor: AttentionGate }
model.layers.17.post_attention_layernorm.weight	Layer { index: 17, tensor: PreMlpNorm }
model.layers.17.moe.gate.weight	Layer { index: 17, tensor: MoeRouter }
model.layers.17.moe.router_bias	Layer { index: 17, tensor: MoeRouterBias }
model.layers.17.moe.gate_proj.weight	Layer { index: 17, tensor: MoeExpertGateBank }
model.layers.17.moe.up_proj.weight	Layer { index: 17, tensor: MoeExpertUpBank }
model.layers.17.moe.down_proj.weight	Layer { index: 17, tensor: MoeExpertDownBank }
model.layers.17.share_expert.gate_proj.weight	Layer { index: 17, tensor: SharedMlpGate }
model.layers.17.share_expert.up_proj.weight	Layer { index: 17, tensor: SharedMlpUp }
model.layers.17.share_expert.down_proj.weight	Layer { index: 17, tensor: SharedMlpDown }
model.layers.18.input_layernorm.weight	Layer { index: 18, tensor: PreAttentionNorm }
model.layers.18.self_attn.q_proj.weight	Layer { index: 18, tensor: Query }
model.layers.18.self_attn.k_proj.weight	Layer { index: 18, tensor: Key }
model.layers.18.self_attn.o_proj.weight	Layer { index: 18, tensor: AttentionOutput }
model.layers.18.self_attn.v_proj.weight	Layer { index: 18, tensor: Value }
model.layers.18.self_attn.q_norm.weight	Layer { index: 18, tensor: QueryNorm }
model.layers.18.self_attn.k_norm.weight	Layer { index: 18, tensor: KeyNorm }
model.layers.18.self_attn.g_proj.weight	Layer { index: 18, tensor: AttentionGate }
model.layers.18.post_attention_layernorm.weight	Layer { index: 18, tensor: PreMlpNorm }
model.layers.18.moe.gate.weight	Layer { index: 18, tensor: MoeRouter }
model.layers.18.moe.router_bias	Layer { index: 18, tensor: MoeRouterBias }
model.layers.18.moe.gate_proj.weight	Layer { index: 18, tensor: MoeExpertGateBank }
model.layers.18.moe.up_proj.weight	Layer { index: 18, tensor: MoeExpertUpBank }
model.layers.18.moe.down_proj.weight	Layer { index: 18, tensor: MoeExpertDownBank }
model.layers.18.share_expert.gate_proj.weight	Layer { index: 18, tensor: SharedMlpGate }
model.layers.18.share_expert.up_proj.weight	Layer { index: 18, tensor: SharedMlpUp }
model.layers.18.share_expert.down_proj.weight	Layer { index: 18, tensor: SharedMlpDown }
model.layers.19.input_layernorm.weight	Layer { index: 19, tensor: PreAttentionNorm }
model.layers.19.self_attn.q_proj.weight	Layer { index: 19, tensor: Query }
model.layers.19.self_attn.k_proj.weight	Layer { index: 19, tensor: Key }
model.layers.19.self_attn.o_proj.weight	Layer { index: 19, tensor: AttentionOutput }
model.layers.19.self_attn.v_proj.weight	Layer { index: 19, tensor: Value }
model.layers.19.self_attn.q_norm.weight	Layer { index: 19, tensor: QueryNorm }
model.layers.19.self_attn.k_norm.weight	Layer { index: 19, tensor: KeyNorm }
model.layers.19.self_attn.g_proj.weight	Layer { index: 19, tensor: AttentionGate }
model.layers.19.post_attention_layernorm.weight	Layer { index: 19, tensor: PreMlpNorm }
model.layers.19.moe.gate.weight	Layer { index: 19, tensor: MoeRouter }
model.layers.19.moe.router_bias	Layer { index: 19, tensor: MoeRouterBias }
model.layers.19.moe.gate_proj.weight	Layer { index: 19, tensor: MoeExpertGateBank }
model.layers.19.moe.up_proj.weight	Layer { index: 19, tensor: MoeExpertUpBank }
model.layers.19.moe.down_proj.weight	Layer { index: 19, tensor: MoeExpertDownBank }
