timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 22:17:35.927, 0, P0, 2415 MHz, 12481 MHz, 472.41 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:17:36.927, 0, P0, 2422 MHz, 12481 MHz, 355.96 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:37.928, 0, P0, 2422 MHz, 12481 MHz, 331.39 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:38.929, 0, P0, 2422 MHz, 12481 MHz, 313.31 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:39.930, 0, P0, 2422 MHz, 12481 MHz, 325.39 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:40.931, 0, P0, 2422 MHz, 12481 MHz, 359.63 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:17:41.931, 0, P0, 2415 MHz, 12481 MHz, 474.15 W, 600.00 W, 59, 19573 MiB, 99 %
2026/09/22 22:17:42.932, 0, P0, 2422 MHz, 12481 MHz, 354.84 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:43.932, 0, P0, 2422 MHz, 12481 MHz, 330.01 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:44.933, 0, P0, 2422 MHz, 12481 MHz, 315.10 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:45.934, 0, P0, 2422 MHz, 12481 MHz, 326.11 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:46.934, 0, P0, 2422 MHz, 12481 MHz, 365.65 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:17:47.935, 0, P0, 2415 MHz, 12481 MHz, 475.98 W, 600.00 W, 59, 19573 MiB, 99 %
2026/09/22 22:17:48.935, 0, P0, 2422 MHz, 12481 MHz, 351.01 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:49.936, 0, P0, 2422 MHz, 12481 MHz, 328.21 W, 600.00 W, 51, 19573 MiB, 92 %
2026/09/22 22:17:50.937, 0, P0, 2422 MHz, 12481 MHz, 313.87 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:51.937, 0, P0, 2422 MHz, 12481 MHz, 327.46 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:52.939, 0, P0, 2422 MHz, 12481 MHz, 149.38 W, 600.00 W, 47, 0 MiB, 0 %
2026/09/22 22:17:53.939, 0, P0, 2422 MHz, 12481 MHz, 89.18 W, 600.00 W, 46, 2003 MiB, 6 %
2026/09/22 22:17:54.940, 0, P0, 2422 MHz, 12481 MHz, 88.34 W, 600.00 W, 45, 5427 MiB, 5 %
2026/09/22 22:17:55.940, 0, P0, 2422 MHz, 12481 MHz, 87.80 W, 600.00 W, 45, 8435 MiB, 6 %
2026/09/22 22:17:56.941, 0, P0, 2422 MHz, 12481 MHz, 88.67 W, 600.00 W, 45, 11443 MiB, 6 %
2026/09/22 22:17:57.941, 0, P0, 2422 MHz, 12481 MHz, 89.66 W, 600.00 W, 44, 14483 MiB, 6 %
2026/09/22 22:17:58.942, 0, P0, 2407 MHz, 12481 MHz, 89.65 W, 600.00 W, 44, 14739 MiB, 0 %
2026/09/22 22:17:59.942, 0, P0, 2422 MHz, 12481 MHz, 226.70 W, 600.00 W, 48, 15891 MiB, 97 %
2026/09/22 22:18:00.943, 0, P0, 2422 MHz, 12481 MHz, 315.83 W, 600.00 W, 48, 15891 MiB, 97 %
2026/09/22 22:18:01.944, 0, P0, 2422 MHz, 12481 MHz, 319.66 W, 600.00 W, 48, 16211 MiB, 97 %
2026/09/22 22:18:02.945, 0, P0, 2422 MHz, 12481 MHz, 305.58 W, 600.00 W, 48, 16661 MiB, 97 %
