#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:14:57       0    419     65      -    100     27      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:58       0    482     64      -    100     26      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:59       0    473     63      -    100     25      0      0      0      0  12481   2415  32915  32914      0 
 20260812    18:15:00       0    412     60      -    100     48      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:15:01       0    374     59      -    100     52      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:15:02       0    374     59      -     99     52      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:15:03       0    302     52      -      0      0      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:15:04       0     95     50      -      0      0      0      0      0      0  12481   2422      1      0      0 
 20260812    18:15:05       0     91     50      -      8      1      0      0      0      0  12481   2422   2197   2196      0 
 20260812    18:15:06       0     89     49      -      8      1      0      0      0      0  12481   2422   4985   4984      0 
 20260812    18:15:07       0     88     48      -      4      0      0      0      0      0  12481   2422   7743   7742      0 
 20260812    18:15:08       0     88     47      -      1      0      0      0      0      0  12481   2422  10499  10498      0 
 20260812    18:15:09       0     88     47      -      0      0      0      0      0      0  12481   2422  13257  13256      0 
 20260812    18:15:10       0     87     46      -      0      0      0      0      0      0  12481   2422  16109  16108      0 
 20260812    18:15:11       0     86     46      -      0      0      0      0      0      0  12481   2422  17455  17454      0 
 20260812    18:15:12       0    291     52      -     94     40      0      0      0      0  12481   2422  19727  19726      0 
 20260812    18:15:13       0    305     49      -     95     47      0      0      0      0  12481   2407  19727  19726      0 
 20260812    18:15:14       0    307     49      -     95     47      0      0      0      0  12481   2407  19919  19918      0 
 20260812    18:15:15       0    322     50      -     94     45      0      0      0      0  12481   2407  19919  19918      0 
 20260812    18:15:16       0    308     50      -     96     48      0      0      0      0  12481   2400  20143  20142      0 
 20260812    18:15:17       0    324     50      -     93     37      0      0      0      0  12481   2422  20143  20142      0 
 20260812    18:15:18       0    292     51      -     96     43      0      0      0      0  12481   2407  20335  20334      0 
 20260812    18:15:19       0    327     52      -     95     47      0      0      0      0  12481   2407  20559  20558      0 
 20260812    18:15:20       0    359     53      -     96     49      0      0      0      0  12481   2407  20655  20654      0 
 20260812    18:15:21       0    316     50      -     94     47      0      0      0      0  12481   2400  20879  20878      0 
 20260812    18:15:22       0    367     54      -     96     48      0      0      0      0  12481   2407  20975  20974      0 
 20260812    18:15:23       0    313     50      -     94     46      0      0      0      0  12481   2400  21199  21198      0 
 20260812    18:15:24       0    366     54      -     96     48      0      0      0      0  12481   2415  21295  21294      0 
