
NOTICE: Existing SQLite export found: /tmp/memra-fa3softmax-20260813/q27-nsys-r2.sqlite
        It is assumed file was previously exported from: /tmp/memra-fa3softmax-20260813/q27-nsys-r2.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/memra-fa3softmax-20260813/q27-nsys-r2.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_gb_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.4,29221746,16,1826359.1,1825955.0,1822547,1832755,2757.6,  96    6    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
0.4,27883135,2880,9681.6,9728.0,8704,10560,333.9,  48    1   32,  32    4    1,gdn_scan_s128
0.3,26367846,48,549330.1,549020.0,544572,556828,3106.4,196608    1    1, 128    1    1,gated_rmsnorm_f32
0.3,22368972,1920,11650.5,11648.0,11231,12543,175.4, 128    1    1,  32    4    1,qmatvec_nvfp4_mmvq_mr2_rp
0.2,18789821,64,293591.0,293629.5,283134,300574,3492.8,3247    1    1,1024    1    1,silu_mul_f32
0.2,16191213,96,168658.5,168031.0,165727,179519,2291.9,  48  764    1, 128    1    1,qmatvec_nvfp4_dp4a_rp
0.2,15445011,48,321771.1,320846.0,312510,334078,5125.6,  24   48    1, 256    1    1,gdn_chunk_output_f32
0.2,13938485,960,14519.3,14560.0,13728,14912,192.8,  24    1    1, 256    1    1,fa_decode_combine_f32
0.2,12972048,3840,3378.1,3392.0,2912,3872,138.0,  17    1    1,1024    1    1,silu_mul_scaled_q8_1
0.2,12402785,16,775174.1,776073.5,768571,780794,2826.0,24576    1    1,1024    1    1,q_gate_split_f32
0.2,12006124,64,187595.7,187679.0,184830,190687,1068.1,4096   12    1, 128    1    1,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
