procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32460168 1582428 382311760    0    0     0     0 3924 2666  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32484416 1582428 382311764    0    0     0     0 3479 2718  1  1 98  0  0  0
 1  0      0 32485020 1582436 382311764    0    0     0    12 3273 2559  1  2 98  0  0  0
 1  0      0 32476796 1582436 382311764    0    0     0    12 3339 2556  1  1 98  0  0  0
 2  0      0 32483160 1582436 382311772    0    0     0     0 3513 4079  2  1 97  0  0  0
 1  0      0 32488584 1582436 382311944    0    0     0     0 4482 5172  2  1 98  0  0  0
 1  0      0 32467780 1582436 382311944    0    0     0     0 3363 2595  1  1 98  0  0  0
 1  0      0 32478136 1582444 382311944    0    0     0    28 3501 2568  1  1 98  0  0  0
 1  0      0 32474812 1582444 382311948    0    0     0     0 3472 2537  1  1 98  0  0  0
 1  0      0 32473324 1582444 382311948    0    0     0     0 3524 2670  1  1 98  0  0  0
 2  0      0 32462084 1582444 382311948    0    0     0     0 3681 2642  1  1 97  0  0  0
 1  0      0 32477488 1582444 382311952    0    0     0     0 4672 2707  1  2 97  0  0  0
 1  0      0 32452564 1582448 382311956    0    0     0    12 3321 2566  1  1 98  0  0  0
 1  0      0 32433128 1582448 382311960    0    0     0     0 3522 2657  1  2 98  0  0  0
 1  0      0 32433608 1582448 382311960    0    0     0     0 3412 2592  1  1 98  0  0  0
 2  0      0 32423716 1582448 382311960    0    0     0     0 3502 2646  1  2 98  0  0  0
 1  0      0 32444944 1582448 382311964    0    0     0     0 3905 4746  2  1 97  0  0  0
 1  0      0 32428076 1582452 382311964    0    0     0    12 4017 5208  2  1 98  0  0  0
 1  0      0 32456920 1582452 382311968    0    0     0    64 3553 2618  1  1 98  0  0  0
 1  0      0 32423352 1582452 382311968    0    0     0     0 3484 2560  1  1 98  0  0  0
 2  0      0 32426984 1582452 382311968    0    0     0     0 3630 2570  1  1 98  0  0  0
 1  0      0 32445108 1582452 382311972    0    0     0    40 3499 2674  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32462392 1582452 382311972    0    0     0    96 3580 2652  1  1 98  0  0  0
 1  0      0 32472184 1582452 382311984    0    0     0     0 3513 2622  1  1 98  0  0  0
 1  0      0 32457064 1582452 382311984    0    0     0    16 3423 2571  1  1 98  0  0  0
 1  0      0 32463856 1582452 382311984    0    0     0     0 3395 2635  1  2 98  0  0  0
 2  0      0 32453072 1582452 382311984    0    0     0     0 3395 2605  1  1 98  0  0  0
 1  0      0 32477856 1582452 382311988    0    0     0  2796 3644 2728  1  2 97  0  0  0
 1  0      0 32479452 1582452 382311996    0    0     0    60 3528 5027  2  0 98  0  0  0
 1  0      0 32465740 1582452 382311996    0    0     0     0 3866 4798  2  1 98  0  0  0
 1  0      0 32479952 1582452 382311996    0    0     0     0 3516 2521  1  1 98  0  0  0
 2  0      0 32479208 1582452 382311996    0    0     0     8 3454 2596  1  1 98  0  0  0
 1  0      0 32489336 1582460 382311996    0    0     0    12 3582 2599  1  1 97  0  0  0
 1  0      0 32494528 1582460 382312000    0    0     0     0 3542 2684  1  1 98  0  0  0
 1  0      0 32476904 1582460 382312004    0    0     0     0 3401 2806  2  1 98  0  0  0
 1  0      0 32476748 1582460 382312180    0    0     0     0 3766 4425  2  0 98  0  0  0
 1  0      0 32479672 1582460 382312180    0    0     0     0 3810 3430  1  1 98  0  0  0
 2  0      0 32479552 1582464 382312184    0    0     0    16 3627 2716  1  1 97  0  0  0
 1  0      0 32502160 1582464 382312188    0    0     0     0 3496 2641  1  1 98  0  0  0
 1  0      0 32499452 1582464 382312188    0    0     0   380 3521 2559  1  1 98  0  0  0
 2  0      0 32473228 1582464 382312196    0    0     0    20 4298 3037  2  1 97  0  0  0
 1  0      0 32457328 1582464 382312188    0    0     0    76 5914 3542  1  2 97  0  0  0
 1  0      0 32439316 1582472 382312188    0    0     0    48 3644 2602  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32432476 1582472 382312192    0    0     0     0 4306 2896  1  2 97  0  0  0
 1  0      0 32432412 1582472 382312192    0    0     0     0 3698 2699  1  1 98  0  0  0
 1  0      0 32449428 1582472 382312192    0    0     0     0 3377 2695  1  1 98  0  0  0
 1  0      0 32476380 1582472 382312200    0    0     0     0 3362 2601  1  2 98  0  0  0
 1  0      0 32482244 1582476 382312208    0    0     0    12 3560 2876  1  1 98  0  0  0
 2  0      0 32465880 1582476 382312212    0    0     0     0 3897 5821  2  1 97  0  0  0
 1  0      0 32471820 1582476 382312212    0    0     0    60 3953 5837  2  1 98  0  0  0
