epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790274875451,78,437.07,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274875701,78,436.57,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274875951,78,436.57,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274876201,78,436.89,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274876451,78,436.89,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274876701,78,436.72,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274876951,78,436.72,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274877201,78,436.75,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274877451,78,436.75,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274877701,78,436.79,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274877951,78,436.79,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274878201,83,453.41,2745,31924,68734484480,31977457748,32614907904,637450156,15,4813586432,0,0,0,0,0,0,0
1790274878451,83,453.41,2745,31924,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274878701,83,497.51,2722,32020,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274878951,83,497.51,2722,32020,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274879201,84,552.19,2662,32020,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274879451,84,552.19,2662,32052,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274879701,84,571.31,2685,32564,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274879951,84,571.31,2685,32596,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274880201,79,503.93,2805,32596,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274880451,79,503.93,2805,32596,68499603456,31133731564,32849788928,1716057364,13,5014192128,0,0,0,0,0,0,0
1790274880701,79,445.14,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274880951,79,445.14,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274881201,79,438.15,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274881451,79,438.15,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274881701,79,437.89,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274881951,79,437.89,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274882201,79,437.99,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274882451,79,437.99,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274882701,79,438.10,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274882951,79,438.10,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274883201,79,437.84,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274883451,79,437.84,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274883701,79,437.49,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274883951,79,437.49,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274884201,79,437.49,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274884451,79,437.49,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274884701,79,437.66,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274884951,79,437.66,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274885201,79,437.54,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274885451,79,437.54,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274885701,79,437.34,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274885951,79,437.34,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274886201,79,437.28,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274886451,79,437.28,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274886701,79,437.28,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274886951,79,437.28,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274887201,79,437.28,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274887451,79,437.28,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274887701,79,437.58,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274887951,79,437.58,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274888201,79,437.30,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274888451,79,437.30,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274888701,79,437.11,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274888951,79,437.11,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274889201,79,437.05,2805,32596,67794960384,33456500776,33554432000,97931224,16,5619810304,0,0,0,0,0,0,0
1790274889451,79,437.05,2805,32852,67794960384,32937466068,33554432000,616965932,15,5619810304,0,0,0,0,0,0,0
1790274889701,83,470.72,2677,32852,67794960384,32937466068,33554432000,616965932,15,5619810304,0,0,0,0,0,0,0
