#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    03:12:15       0    399     56      -    100     86      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:15       1     91     39      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:16       0    465     63      -    100     38      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:16       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:17       0    426     56      -    100     86      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:17       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:18       0    440     63      -    100     36      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:18       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:19       0    472     62      -     95     63      0      0      0      0  12481   2415  23219  23218      0 
 20260812    03:12:19       1     90     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:20       0    500     63      -    100     38      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:20       1     90     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:21       0    374     56      -    100     86      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:21       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:22       0    496     64      -    100     35      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:22       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:23       0    385     57      -    100     86      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:23       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:24       0    481     63      -    100     37      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:24       1     91     38      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:25       0    413     57      -    100     86      0      0      0      0  12481   2422  23219  23218      0 
